Math_Score,Reading_Score,Writing_Score,Placement_Score,Club_Join_Date,placement_count
75,90,80,79,2024,2
67,92,60,75,2023,2
62,75,61,75,2022,2
64,77,73,91,2022,3
76,85,79,75,2024,2
72,92,77,NA,2025,3
77,NA,76,95,2022,3
78,79,71,78,2025,2
62,81,80,83,2022,2
74,84,68,77,2026,2
76,75,200,80,2022,2
78,89,63,84,2022,2
66,76,68,86,2026,3
60,83,NA,100,2022,3
76,92,78,94,2023,3
62,79,60,76,2025,2
71,81,75,82,2026,2
73,81,61,98,2025,3
60,77,67,95,2024,3
79,92,70,85,2022,3
75,79,75,83,2026,2
73,86,66,98,2025,3
78,90,70,97,2026,3
60,91,75,93,2026,3
63,91,63,99,2025,3
NA,81,65,97,2023,3
76,82,77,81,2025,2
76,84,79,89,2024,3
71,,,,,
